x1,x2,x3,y1,y2
0,-0.001119628,0,-0.10801916,0.106374714
-0.563171676,0.545257578,-0.497113653,-0.102759408,0.02498096
-2.228055248,2.224697716,-2.120574096,-0.16036447,-0.46948792
-4.991293184,4.976734327,-4.828945593,-0.209988402,-1.306119173
-8.914478447,8.902159855,-8.708442824,-0.260904926,-2.53055863
-13.89789346,13.88001718,-13.63146809,-0.733090332,-4.129408816
-19.96740727,19.95061961,-19.65503068,-1.784763532,-5.978400917
-27.13751571,27.22483448,-26.78594881,-3.306682675,-8.148478566
-35.37120571,35.51226792,-35.00508568,-5.133598712,-10.69963044
-44.82644172,44.89588421,-43.90163054,-7.567592181,-13.31105748
-55.28486954,55.40244048,-51.75693921,-10.24112784,-16.10858121
-66.8315161,67.13976739,-58.55055708,-13.16808274,-18.97549013
-79.46867323,79.82906368,-64.24976827,-16.05275335,-21.84979021
-93.07985861,93.46832399,-68.84259796,-19.22344449,-24.45686277
-106.9992953,107.2175922,-72.38061234,-22.25811546,-26.19120601
-120.7583038,120.9657145,-74.75609536,-25.23635008,-27.73406676
-133.9609702,134.7144097,-76.02462392,-28.12972964,-29.03238913
-146.0440772,148.6349923,-76.25552591,-30.67538113,-29.87245985
-157.1543018,162.3813958,-75.54219346,-32.97729637,-30.54528419
-167.0636069,176.1329558,-75.15143624,-34.76360688,-31.01682845
-175.845331,189.8805051,-75.08898384,-36.34514229,-31.64152434
-183.5201007,203.4212167,-75.08554609,-37.61212386,-32.01280099
-190.0495277,216.111086,-74.78989987,-38.75047641,-32.48738193
-195.5178369,227.5662312,-74.83229875,-39.56275867,-32.67445265
-199.8980992,237.9304647,-75.48833542,-40.17272954,-33.12244835
-203.1358837,247.2158187,-75.64876361,-40.64456029,-33.28791856
-205.2655679,255.4910482,-75.65621206,-40.9728651,-33.43310606
-206.3100699,262.5544719,-75.66194164,-41.0992023,-33.46318635
-206.2252722,268.5252651,-75.95071236,-41.04265136,-33.50701762
-205.8087318,273.3879579,-75.84471517,-40.97521423,-33.47751029
-205.5050642,277.1912517,-75.16174948,-40.99423643,-33.36234578
-204.9596084,279.8446193,-74.97897594,-40.83186019,-33.2005425
-205.1589977,281.3944701,-75.17721934,-40.83455309,-33.32241062
-205.4345904,281.8534093,-75.66996305,-40.76774621,-33.38050854
-206.1295882,281.2815974,-75.42129936,-40.93923248,-33.46341553
-206.3839815,280.6542086,-74.89761594,-40.97521423,-33.3512304
-205.8900918,280.961314,-74.70166437,-40.91247535,-33.3036176
-205.6517414,281.0776244,-74.64780634,-40.8398816,-33.25795287
-205.616791,280.8994346,-75.14284187,-40.7747363,-33.34687592
-205.1515493,280.1786537,-75.38233823,-40.7394421,-33.38469113
-204.5757267,279.9557731,-75.61610501,-40.62204304,-33.33862532
-204.6857346,280.7258283,-75.72382108,-40.63596592,-33.38429006
-205.2443684,281.3285799,-75.74158277,-40.6932044,-33.44668516
-206.0717195,281.1939349,-75.35540922,-40.88394205,-33.41265147
-206.0304665,280.4227337,-74.79677537,-40.92662741,-33.35180335
-205.0684704,280.1391196,-74.94116073,-40.71474761,-33.31158172
-204.531036,280.1775077,-75.21618047,-40.6199804,-33.30046634
-204.7648027,280.3723134,-75.57026839,-40.59431189,-33.42508466
-205.6941403,280.920634,-75.56110106,-40.75153151,-33.42760567
-206.1565172,281.1200233,-75.79429489,-40.79570655,-33.57709036
-205.914729,281.0403822,-75.72382108,-40.80252475,-33.52953486
-205.3217177,281.042674,-75.70262164,-40.70827319,-33.5141223
-204.7550625,280.9733461,-75.69918389,-40.60880772,-33.43952319
-204.8879887,280.5178447,-75.1995647,-40.65080553,-33.43952319
-205.4156828,280.010777,-74.67129761,-40.72288362,-33.29668481
-206.0356231,279.8302953,-74.16308404,-40.90731873,-33.28952284
-206.0556767,280.4742999,-74.59509422,-40.86383123,-33.30974825
-205.8087318,280.7407252,-75.16919793,-40.83976701,-33.44049722
-205.8385256,280.961314,-75.53646388,-40.75932373,-33.52879002
-206.1983431,280.6375928,-75.33077203,-40.82074481,-33.56666253
-205.8568603,280.1001584,-74.79104579,-40.83793354,-33.42938184
-205.1286309,280.3316334,-74.97038158,-40.69658485,-33.36446572
-205.0850861,280.5310227,-75.28722724,-40.66289493,-33.50741869
-0.033588791,0.030229884,-0.022392508,0.071883285,-0.003558068
-0.884503596,0.863229673,-0.821804825,0.062274783,-0.223338949
-2.849445166,2.837132303,-2.722930355,0.006491612,-0.845542466
-5.897053515,5.885880838,-5.729125315,-0.032796104,-1.839962286
-10.04973702,10.04526795,-9.833674638,-0.074157927,-3.206644244
-15.37807263,15.28846203,-15.10712089,-0.142454497,-4.927964159
-21.74535261,21.64239209,-21.35574131,-0.333713538,-7.046475607
-29.19311639,29.18864732,-27.30321511,-1.718380642,-9.333035576
-37.82879358,37.75602794,-32.20601496,-3.799082604,-11.61770478
-47.46651665,47.41500774,-35.97246762,-6.526648188,-13.80393984
-58.20620945,58.18902072,-38.64611787,-9.549115149,-15.82785596
-70.04065271,70.05153891,-40.21585034,-12.77853447,-17.32356228
-82.98892592,83.19175298,-40.68384227,-15.81990903,-18.28022991
-96.88143358,96.91581105,-40.22146533,-18.9753595,-19.14390649
-110.6347125,110.6662252,-39.6313761,-22.07420173,-19.95762115
-124.3129339,124.4137745,-39.22159668,-25.18501879,-20.73816156
-137.1655232,138.3377948,-39.14321606,-28.03267632,-21.56814822
-149.0790346,152.0807605,-39.26193291,-30.45777749,-22.33917753
-159.7750108,165.6965296,-39.28880463,-32.56219417,-22.98318209
-169.3479896,178.3766585,-39.06036636,-34.35876064,-23.53677391
-177.8501103,190.1291688,-39.00215385,-35.87394753,-23.973998
-185.2441307,200.6584142,-39.50824747,-37.10912994,-24.43253613
-191.5266129,210.082997,-40.27068241,-38.11306659,-24.97174671
-196.7554257,218.4235436,-40.0982794,-38.95743449,-25.23868774
-200.8148317,225.6514062,-39.56422544,-39.61816942,-25.30606758
-203.7775965,231.7849194,-39.3571012,-40.06713915,-25.48597633
-205.6271042,236.8727846,-39.40076059,-40.2931137,-25.54797036
-206.3931488,240.7900971,-39.51495107,-40.40529884,-25.63213786
-206.0321854,243.6061846,-39.66609734,-40.33814819,-25.63901335
-205.2283256,245.3199014,-39.48022983,-40.17903781,-25.5569658
-204.6404709,245.9335392,-39.81947814,-40.01866692,-25.58383752
-204.8278281,245.9278096,-39.60788483,-40.0609512,-25.55077785
-205.0627408,245.067227,-39.53620781,-40.06060743,-25.58378022
-204.9991425,244.3716562,-39.83626581,-40.03236061,-25.57535774
-205.263276,244.7801752,-39.99079252,-40.05986258,-25.68760018
-205.4981887,245.6539358,-39.82171268,-40.12260146,-25.64697747
-205.7457065,245.5846079,-39.48361028,-40.20940457,-25.59592693
-205.7938349,245.1107718,-39.21603899,-40.2375368,-25.59581234
-205.6259583,244.9841481,-39.31344182,-40.15165042,-25.56619042
-205.6013211,245.542782,-39.4846989,-40.15640597,-25.60257324
-205.1521222,245.420742,-40.29531959,-39.97999227,-25.72885314
-204.8490275,244.4713509,-40.28861598,-39.98864393,-25.76042311
-205.2397848,244.3905639,-39.62914156,-40.0555654,-25.62022034
-205.6271042,245.1331172,-39.59671215,-40.14059234,-25.66038468
-205.4277149,245.1531707,-40.08819535,-40.03161577,-25.70679426
-204.9641921,245.3279228,-40.34797441,-39.93977063,-25.82293281
-205.1658732,245.2998479,-39.88554018,-40.01139036,-25.68278733
-205.2621301,245.0718107,-39.94936767,-40.0040565,-25.72180576
-205.6093425,244.9022152,-39.84973031,-40.04233008,-25.71762316
-206.3255398,244.7423599,-39.48361028,-40.23186451,-25.74575539
-206.349031,244.6048501,-39.18131775,-40.23094778,-25.69957499
-205.6918485,244.8655459,-39.11634434,-40.16322417,-25.63609127
-204.938409,244.7154309,-39.32014542,-40.03637132,-25.61277189
-204.5344737,245.0981667,-39.85981437,-39.92006088,-25.62371538
-205.0827943,245.1142095,-39.99864204,-40.00583266,-25.79210768
-205.711329,245.1250957,-39.79260642,-40.0732125,-25.723983
-206.3301234,245.4379307,-39.21042401,-40.26137184,-25.77617945
-206.1364637,245.1239498,-39.02902557,-40.24103184,-25.61918901
-205.4683949,244.9830022,-39.46682262,-40.12586732,-25.70186682
-205.15556,245.5169989,-39.77805329,-40.04267385,-25.71338328
-205.6225206,245.5599707,-40.18336364,-40.01775019,-25.81829185
-206.2642333,244.8643999,-39.58215902,-40.18946564,-25.89392228
-206.133026,244.497134,-38.94841041,-40.23129156,-25.65631668
-0.143312214,0.130996487,-0.111962829,0.09354109,-0.006669229
-1.278612616,1.2405453,-1.181204061,0.069539888,-0.318192112
-3.498829801,3.459645218,-3.03754721,0.02525598,-0.996688733
-6.839798271,6.783820294,-4.234427396,-0.211175055,-1.766434612
-11.26790259,11.24888039,-4.392294457,-0.91743721,-2.562548009
-16.78989793,16.78095979,-3.905257413,-1.947397602,-3.387263459
-23.52335524,23.40463838,-3.405901777,-3.216441822,-4.307662862
-31.2185222,31.12226529,-3.688049113,-4.519634327,-5.365801318
-40.01989878,39.95498266,-4.307198766,-6.130677056,-6.06314825
-49.91516638,49.87374153,-4.072079805,-8.675469103,-6.893364095
-60.90885137,60.90885137,-3.751865152,-11.59938732,-7.513648204
-73.00513634,73.18905579,-4.135895844,-14.63749603,-8.437141578
-86.37567945,86.42953748,-4.519932265,-17.96294307,-9.551429898
-100.1260936,100.1788057,-4.451629967,-21.17282453,-10.34898715
-113.8805184,113.9240632,-4.306081498,-24.24427938,-11.10471848
-127.475088,127.7953714,-3.909732214,-27.3541797,-11.88766531
-140.1030778,140.6834841,-3.833597582,-30.10638247,-12.55693731
-151.6510422,152.4738096,-3.916453009,-32.60104071,-13.26860819
-162.1911738,163.1886933,-4.026174426,-34.61298201,-13.86207787
-171.5355425,172.7971955,-4.513211471,-36.36015951,-14.45233899
-179.782697,181.32911,-4.272494712,-37.94925795,-14.97103768
-186.8971139,188.7563619,-4.138136109,-39.21045265,-15.19116807
-192.910306,195.1878132,-3.808966126,-40.33516881,-15.57648218
-197.8560776,200.4177719,-3.405901777,-41.09972369,-15.61275041
-201.6467664,204.5591109,-3.756345682,-41.71548143,-15.90937066
-204.3293548,207.585474,-4.170605627,-42.12468789,-16.06189203
-205.9135831,209.5455626,-4.18292422,-42.38807659,-16.23796196
-206.3965865,210.367757,-4.086632933,-42.44038763,-16.20232398
-205.8322231,210.0990398,-3.54025465,-42.42056329,-16.18158291
-204.9361171,209.2940341,-3.368951728,-42.18926023,-15.98196442
-204.7693864,208.9995338,-3.906374681,-42.1299018,-16.02126932
-204.8335577,209.3295575,-4.476261422,-42.08183064,-16.23406585
-205.2735893,209.2756995,-4.040727554,-42.11706755,-16.16766004
-205.4500603,209.2671051,-3.783217403,-42.14159014,-16.13723598
-205.5531927,209.1943395,-3.720518631,-42.18685381,-16.09638409
-205.4477684,209.6166093,-4.082158133,-42.16009668,-16.13528792
-205.0638867,209.9007964,-4.147091439,-42.1014831,-16.18863029
-205.114307,209.4223767,-4.097828528,-42.06355329,-16.14136127
-205.2609842,209.3272657,-4.022816894,-42.1190156,-16.14583035
-205.5251177,209.5209254,-4.041850552,-42.09414924,-16.20266776
-205.7818028,209.7105744,-3.922050806,-42.15906535,-16.15178911
-205.5308473,209.431544,-4.129180779,-42.11202552,-16.25841655
-205.3033831,209.1519406,-3.759703215,-42.10343115,-16.18467688
-205.4334445,209.2075175,-3.77089881,-42.09678484,-16.11454685
-205.9817651,209.7638595,-4.272494712,-42.21773623,-16.29697661
-205.8184721,209.4464409,-4.18292422,-42.19407308,-16.27531881
-205.3887538,209.241322,-3.713797836,-42.12571921,-16.1912086
-205.7434147,209.7684432,-3.439488562,-42.19298446,-16.1030304
-205.738831,209.7386494,-3.726116429,-42.2005475,-16.18828652
-205.3136963,209.7002612,-4.279209777,-42.04934394,-16.25257238
-205.1492574,209.4951423,-4.478501687,-42.03822856,-16.38893634
-205.371565,209.3731023,-4.115744918,-42.07237684,-16.25555176
-204.7166743,208.8270735,-4.110147121,-41.96666613,-16.2523432
-204.6364602,209.0407868,-4.198594616,-41.96116573,-16.24592607
-205.331458,209.3175254,-3.891821553,-42.11855724,-16.24168618
-206.1525065,209.4550353,-3.642143735,-42.29777844,-16.21785114
-206.1072429,209.3014826,-3.850390975,-42.23074237,-16.28970005
-206.0413527,209.7105744,-4.000425703,-42.23429471,-16.26523475
-205.2844755,209.7867778,-4.433719306,-42.08973746,-16.36034574
-204.6353143,209.5180606,-4.601664695,-41.96065007,-16.36263758
-204.9091881,209.811415,-3.927648604,-42.06538676,-16.22753413
-205.6425741,210.1168015,-3.632065407,-42.23893567,-16.24632714
-205.8373797,209.4069068,-3.840318377,-42.22197612,-16.22638821
-0.312375444,0.310136325,0.273188569,0.107847846,-0.007585961
-1.736537674,1.721984546,1.638011852,-0.170065333,-0.035259823
-4.238902197,4.223226071,4.086632933,-1.055290856,-0.060997087
-7.829525566,7.881034472,7.62801631,-2.231091925,-0.070152952
-12.53643115,12.59240913,12.27556346,-3.842936794,-0.12869205
-18.4357765,18.41446247,17.94538192,-5.664598808,-0.189276608
-25.3538981,25.32817229,22.89413299,-7.401520364,-0.535159769
-33.31222458,33.43873366,26.75793117,-8.090502112,-0.829385056
-42.38793335,42.45399538,29.54359468,-8.488822372,-0.679636807
-52.55971038,52.80825947,31.23422124,-11.8999839,-0.739344739
-63.98105107,64.13002009,31.9529968,-14.56647218,-0.955899867
-76.37642001,76.57237157,32.20492634,-18.26096134,-1.280010633
-89.82545833,90.03458793,31.8891693,-21.41704206,-2.19572897
-103.582175,103.0751073,31.74025757,-24.9665729,-3.061926564
-117.3325891,115.2086346,31.60366443,-27.81990272,-3.740595073
-130.8807491,126.0587363,31.27564609,-30.85749576,-4.638992895
-143.2314274,135.8253749,31.36296486,-33.52650506,-5.28907081
-154.4940588,144.485632,31.76380613,-35.88153349,-5.716210846
-164.6474438,152.1346186,31.83095679,-37.96165676,-6.276277091
-173.7087714,158.5981554,31.76380613,-39.65434598,-6.643084671
-181.696376,163.953592,31.22746034,-41.10776801,-7.101221724
-188.6079659,168.2318678,31.26218158,-42.35985268,-7.458976571
-194.3054582,171.3991785,31.75927977,-43.32053102,-7.576261032
-198.9194873,173.4927663,31.972019,-44.09849311,-7.760466963
-202.4552099,174.459919,32.24967434,-44.70181767,-7.837930857
-204.8622056,174.3315765,31.88131978,-45.04364429,-7.994520223
-206.1611009,173.7929962,31.23422124,-45.18058121,-8.184226548
-206.3581984,173.537457,31.29352238,-45.1888318,-8.238657539
-205.7187775,174.1591162,31.50964206,-45.02038221,-8.103095725
-205.0088828,174.0514001,31.3651994,-44.9064782,-8.146583221
-205.1446738,173.754608,31.23084079,-44.87290287,-8.169215054
-204.8644974,173.61939,31.25100891,-44.8235712,-8.156667279
-204.7648027,173.4200006,31.48947394,-44.83491577,-8.142744404
-205.6081966,173.7929962,31.99333303,-44.94967921,-8.057832059
-206.3708034,174.0055635,32.31797091,-45.11606616,-8.060467665
-206.0224451,173.4658373,31.60366443,-44.98795279,-8.097652626
-205.6866918,173.8342491,31.0013139,-44.91604659,-8.297385713
-205.7267989,174.1688565,31.43349596,-44.92888085,-8.227083792
-205.0827943,173.6910097,31.63500522,-44.76954128,-8.160677983
-205.2959346,173.5443325,32.00003663,-44.83560332,-8.093699217
-206.0579685,174.215839,31.94852773,-44.99098947,-8.086422653
-206.1811544,174.3212633,31.37637207,-44.96297183,-8.279280247
-205.8362338,174.2943342,31.48277034,-44.89249803,-8.226510834
-205.3515115,173.8376869,31.86229758,-44.82506089,-8.169959899
-205.3114045,173.7861207,31.53313333,-44.82557656,-8.140910939
-204.6353143,173.6022012,30.89159248,-44.67712319,-8.335487406
-204.7080799,173.9866559,31.09871673,-44.66136685,-8.27475388
-205.3056749,174.3178255,31.70106726,-44.81852917,-8.193966831
-205.969733,174.1367708,31.80855414,-44.94956462,-8.190815563
-206.1341719,173.9471218,31.42788098,-44.9471009,-8.251606385
-205.480427,173.70075,31.30475235,-44.81726867,-8.332393434
-205.44032,173.7213764,31.88246569,-44.81996157,-8.159646659
-205.5205341,173.8176334,31.63615114,-44.84981267,-8.202675789
-205.2999453,173.7660671,31.17824327,-44.76908292,-8.310792925
-205.467249,174.1006745,31.53089879,-44.80076748,-8.298531629
-205.4907403,174.2800103,31.51073068,-44.7856414,-8.225021143
-204.9945588,173.9671753,31.17709735,-44.72353277,-8.384074227
-205.0850861,173.8331032,31.5891113,-44.71344872,-8.221697988
-205.8889459,174.3023556,31.91942147,-44.93260507,-8.222099059
-206.1479229,174.202661,31.7357885,-44.94217347,-8.238256469
-205.7548738,173.7357004,31.35511534,-44.83371256,-8.354223126
-205.3629707,173.4578159,31.69659818,-44.78237554,-8.295494952
0,0,0,0.079984908,-0.003644012
-0.571009166,0.548616829,0.497113653,0.036348443,-0.027754076
-2.256044237,2.252686704,2.121691363,-0.476448784,-0.052379802
-5.075265879,5.02039944,4.856934581,-1.45381738,-0.070691533
-8.969310508,8.899925319,8.686040174,-2.702023125,-0.095592279
-13.96510141,13.95054828,13.61353451,-4.409380059,-0.134490383
-20.05249151,20.03346931,19.62368989,-6.320480785,-0.192811757
-27.33340998,27.22259995,26.84971901,-8.382040227,-0.370543265
-35.58955992,35.51679428,35.04542191,-9.25694678,-1.008291128
-44.94739311,44.89697283,42.93877497,-9.934985035,-1.217816064
-55.42260859,55.54126815,49.74276338,-13.56604777,-0.847238421
-66.98163104,67.1437781,55.44386533,-16.25213121,-1.080506728
-79.63311211,79.08135376,60.04311214,-20.16577672,-1.446603841
-93.25117299,89.99677271,63.55247864,-23.4310059,-1.225304622
-107.1751933,99.79893467,66.00416504,-27.31199282,-1.336601674
-120.9261804,108.6236306,67.33113529,-30.2120187,-1.657864839
-134.0749888,116.2158944,67.57521532,-33.45753813,-1.567360426
-146.1225724,122.7212572,66.96730709,-36.00267395,-1.598964778
-157.2287863,128.1276869,66.65561805,-38.39202255,-1.832204437
-167.1266322,132.4237245,66.92318934,-40.41656892,-1.825357592
-175.9020538,135.6271315,67.2726936,-42.18517504,-1.831442403
-183.5848449,137.7608263,67.04637527,-43.65383776,-1.978085221
-190.113699,138.7319898,67.26123444,-44.86254952,-1.972092083
-195.6129479,138.6351599,67.23029472,-45.78919416,-1.955275772
-199.9347685,138.0667858,66.71405975,-46.53375282,-2.042617458
-203.1536454,138.4351977,67.13862148,-47.09530875,-2.059777544
-205.2735893,138.3429515,67.22914881,-47.4368489,-2.042422652
-206.2986108,138.2478405,67.28930938,-47.60547037,-2.08616225
-206.2115212,138.6139605,67.23487839,-47.57997375,-2.087881124
-205.5858513,138.3028444,67.19419838,-47.4041903,-2.061026592
-204.9567436,137.9567779,67.11684908,-47.32609615,-2.084294408
-204.5419222,137.9986038,66.84412117,-47.20359778,-2.084294408
-205.168165,138.349827,67.16325866,-47.26937333,-2.076656881
-205.9049888,138.6288574,67.30076853,-47.43936991,-2.097088556
-205.76576,138.2243492,67.28701754,-47.43564568,-2.097088556
-204.8008991,138.023241,66.81375441,-47.20646257,-2.093037744
-204.7023503,138.430614,66.9862147,-47.19867034,-2.098566787
-205.4970428,138.5635402,67.25607782,-47.33331542,-2.098566787
-206.0545307,138.6523487,67.36436685,-47.43031718,-2.098566787
-206.037915,138.4317599,67.34545924,-47.46056935,-2.10435939
-205.1859267,138.25357,66.92204343,-47.25814336,-2.10435939
-204.6565137,137.982561,66.72952961,-47.17420504,-2.10435939
-205.0392495,138.0541807,67.1695612,-47.21173378,-2.10435939
-205.9170209,138.6769859,67.4898446,-47.42395735,-2.111389582
-206.1221398,138.4632726,67.01944625,-47.4137587,-2.111389582
-205.6672113,137.9000551,66.8830823,-47.34082117,-2.116248264
-205.2489521,137.8261435,67.07330429,-47.32598156,-2.116248264
-205.3056749,138.4403543,67.51333587,-47.31268894,-2.110759329
-206.0728654,138.8557487,67.55573475,-47.41272737,-2.115457582
-206.3954406,138.5606754,67.41593305,-47.44888101,-2.117291047
-206.0258828,138.0564726,66.95241019,-47.4476205,-2.117291047
-205.5027724,138.3343571,67.27956909,-47.36901069,-2.121158513
-205.6248124,138.6088039,67.51218996,-47.32231463,-2.121158513
-205.7806569,138.199712,67.27956909,-47.37582889,-2.126842254
-205.5955915,138.0988714,67.01658147,-47.36517188,-2.126842254
-205.2008236,138.3813396,67.2142519,-47.26616477,-2.13041751
-205.046125,138.5177036,67.12028683,-47.22388048,-2.13041751
-205.7583116,138.7417301,67.47781249,-47.3267837,-2.135385055
-206.1937595,138.3675887,67.48411503,-47.4191445,-2.143899207
-205.8350879,138.0788179,67.07330429,-47.38470974,-2.143899207
-205.5669437,138.3859233,67.13976739,-47.34082117,-2.148671946
-205.0787836,138.4317599,66.9971009,-47.1680171,-2.1442659
-204.6158337,138.0283976,66.86302878,-47.21454127,-2.150270498
-0.032469174,0.030229884,0.020153275,0.111646556,0
-0.866592936,0.860989408,0.791575571,0.058458884,-0.017773151
-2.844970366,2.80690305,2.713975025,-0.522778151,-0.037924076
-5.895964895,5.838841003,5.715689454,-1.504879378,-0.052013109
-10.04641387,10.0419448,9.811271988,-2.855060152,-0.083783618
-15.30530699,15.21569639,15.00748353,-4.668127799,-0.111102246
-21.65803384,21.64010026,21.3042324,-6.585874835,-0.168357919
-29.09685948,29.08677543,28.70272182,-8.725070059,-0.314777283
-37.71792625,37.64739514,37.31043866,-9.545774805,-0.808300209
-47.33891895,47.28964458,46.9201441,-10.46542936,-1.000086372
-58.06583479,57.76961561,57.26776188,-14.11740505,-0.729896665
-69.88824593,67.17872852,66.73296736,-16.83511576,-0.874322136
-82.81188196,75.51182669,75.22420188,-20.72802021,-1.227069332
-96.69866004,82.75916984,82.50649546,-24.07420832,-1.076089224
-110.4502201,88.96888643,88.6910019,-27.88724245,-1.15161652
-124.1576624,94.00060178,93.77199162,-30.79041959,-1.441515976
